metric,value
DSC consultations (scheduled via LibInsights),462
"Direct consultations (DSC + DataSquad, combined LibInsight + sign-in; canceled excluded; manual logs deduped where possible)",741
DataSquad direct consultations (LibInsights + sign-in),142
DataSquad Trello task cards (all),219
DataSquad Trello task cards (reportable; excludes backlog/admin lists),204
DataSquad Trello task rows (comment-weighted),627
DataSquad Trello reportable task rows (comment-weighted; excludes backlog/admin lists),612
Datasquad total incl. Trello,769
Datasquad total incl. reportable Trello tasks,754
Combined DSC + Datasquad direct consultations only,604
Other/uncategorized LibInsights rows,154
LibInsight manual logs flagged as likely duplicates of scheduled exports (heuristic),4
LibInsights rows in 2025 (all statuses),115
LibInsights rows in 2025 (not canceled),108
