Loc,Fund,Account,CC,Sub,Object,Source,Project,Description,Reference,Debit,Credit
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,0.07,
4,66080,721278,B3,03,3270,,PSTHAF,AWS CLOUD SERVICES B,2023.01,,0.07
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,2174.55,
4,19900,727601,DP,03,3270,,SYSADM,AWS CLOUD SERVICES B,2023.01,,2174.55
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,87.46,
4,66080,721278,B3,03,3270,,PSTHAF,AWS CLOUD SERVICES B,2023.01,,87.46
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,0.09,
4,66080,721272,C7,03,3270,,HTITTE,AWS CLOUD SERVICES B,2023.01,,0.09
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,367.27,
4,19900,727601,SY,03,3270,,MPSUSE,AWS CLOUD SERVICES B,2023.01,,367.27
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,9.37,
4,66080,727601,M1,03,3270,,MFSSCX,AWS CLOUD SERVICES B,2023.01,,9.37
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,225.05,
4,66080,721278,B5,03,3270,,CIBACK,AWS CLOUD SERVICES B,2023.01,,225.05
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,185.78,
4,66080,721278,B3,03,3270,,PSTHAF,AWS CLOUD SERVICES B,2023.01,,185.78
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,690.27,
4,66080,721278,B3,03,3270,,PSTHAF,AWS CLOUD SERVICES B,2023.01,,690.27
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,1.51,
4,61070,400915,CS,03,3270,4.8.24,AWS,AWS CLOUD SERVICES B,2023.01,,1.51
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,6.04,
4,19900,437782,,05,3270,,AWS,AWS CLOUD SERVICES B,2023.01,,6.04
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,0.07,
4,61070,400964,J7,03,3270,,,AWS CLOUD SERVICES B,2023.01,,0.07
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,2.03,
4,61070,400959,Z2,03,3270,,AWS,AWS CLOUD SERVICES B,2023.01,,2.03
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,691.29,
4,61070,400915,CS,03,3270,4.8.24,AWS,AWS CLOUD SERVICES B,2023.01,,691.29
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,1037.91,
4,61070,400959,N1,03,3270,,AWS,AWS CLOUD SERVICES B,2023.01,,1037.91
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,172.68,
4,66080,721278,B3,03,3270,,PSTHAF,AWS CLOUD SERVICES B,2023.01,,172.68
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,2.19,
4,20177,609200,CL,03,3270,,,AWS CLOUD SERVICES B,2023.01,,2.19
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,325.80,
4,19900,605000,AE,03,3270,,,AWS CLOUD SERVICES B,2023.01,,325.80
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,3552.74,
4,20107,433630,2C,03,3270,,287WEB,AWS CLOUD SERVICES B,2023.01,,3552.74
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,54.13,
4,31039,441490,CS,03,3270,,,AWS CLOUD SERVICES B,2023.01,,54.13
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,106.38,
4,19900,444070,T1,03,3270,,,AWS CLOUD SERVICES B,2023.01,,106.38
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,567.99,
4,18084,605000,LD,03,3270,,,AWS CLOUD SERVICES B,2023.01,,567.99
4,66080,721274,S7,09,3900,,AWSCSB,AWS CLOUD SERVICES B,2023.01,72.23,
