Description of Goods and Services being Recharged,Quantity,Approved Rate
AWS CLOUD SERVICES,1,109.62
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  109.62  <> 4 18082 403933 2D 03 3270 DSG AWSFYM AWS CLOUD SERVICES 2025.08 109.62   <> Total          $109.62 $109.62,,
AWS CLOUD SERVICES,1,2.33
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  2.33  <> 4 19900 727609 IC 03 3270  SBDROF AWS CLOUD SERVICES 2025.08 2.33   <> Total          $2.33 $2.33,,
AWS CLOUD SERVICES,1,23.87
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  23.87  <> 4 19900 727601 EB 03 3270  ESPLAT AWS CLOUD SERVICES 2025.08 23.87   <> Total          $23.87 $23.87,,
AWS CLOUD SERVICES,1,0.02
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  0.02  <> 4 23250 444025 CT 03 3270  1TYD AWS CLOUD SERVICES 2025.08 0.02   <> Total          $0.02 $0.02,,
AWS CLOUD SERVICES,1,18.7
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  18.70  <> 4 69970 447640  03 3270  AAMI AWS CLOUD SERVICES 2025.08 18.70   <> Total          $18.70 $18.70,,
AWS CLOUD SERVICES,1,0.1
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  0.10  <> 4 20246 406431 AM 03 3270   AWS CLOUD SERVICES 2025.08 0.10   <> Total          $0.10 $0.10,,
AWS CLOUD SERVICES,1,591.64
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  591.64  <> 4 66080 721272 C1 03 3270  WCBMHP AWS CLOUD SERVICES 2025.08 591.64   <> Total          $591.64 $591.64,,
AWS CLOUD SERVICES,1,316.14
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  316.14  <> 4 19900 432410 3C 03 3270  AWS AWS CLOUD SERVICES 2025.08 316.14   <> Total          $316.14 $316.14,,
AWS CLOUD SERVICES,1,940.61
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  940.61  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.08 940.61   <> Total          $940.61 $940.61,,
AWS CLOUD SERVICES,1,65.95
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  65.95  <> 4 29358 448000 MK 03 3270  METHOD AWS CLOUD SERVICES 2025.08 65.95   <> Total          $65.95 $65.95,,
AWS CLOUD SERVICES,1,51.77
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  51.77  <> 4 19902 446469 LF 03 3270   AWS CLOUD SERVICES 2025.08 51.77   <> Total          $51.77 $51.77,,
AWS CLOUD SERVICES,1,66.23
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  66.23  <> 4 77603 448000 JF 03 3270  WLAPP AWS CLOUD SERVICES 2025.08 66.23   <> Total          $66.23 $66.23,,
AWS CLOUD SERVICES,1,3.15
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  3.15  <> 4 75544 447641  03 3270 AW13 AWS AWS CLOUD SERVICES 2025.08 3.15   <> Total          $3.15 $3.15,,
AWS CLOUD SERVICES,1,885
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  885.00  <> 4 19900 727609 IC 03 3270  SBDBSR AWS CLOUD SERVICES 2025.08 885.00   <> Total          $885.00 $885.00,,
AWS CLOUD SERVICES,1,0.02
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  0.02  <> 4 69087 443841 CJ 08 3270  DATAX AWS CLOUD SERVICES 2025.08 0.02   <> Total          $0.02 $0.02,,
AWS CLOUD SERVICES,1,23.9
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  23.90  <> 4 20109 400945 DA 03 3270   AWS CLOUD SERVICES 2025.08 23.90   <> Total          $23.90 $23.90,,
AWS CLOUD SERVICES,1,10.67
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  10.67  <> 4 69996 435970 J1 03 3270   AWS CLOUD SERVICES 2025.08 10.67   <> Total          $10.67 $10.67,,
AWS CLOUD SERVICES,1,2.49
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  2.49  <> 4 19900 727601 EB 03 3270  ESPLAT AWS CLOUD SERVICES 2025.08 2.49   <> Total          $2.49 $2.49,,
AWS CLOUD SERVICES,1,219.92
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  219.92  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.08 219.92   <> Total          $219.92 $219.92,,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  0.01  <> 4 69460 403945 CS 03 3270 AMTURK RESEAR AWS CLOUD SERVICES 2025.08 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,5.63
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  5.63  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.08 5.63   <> Total          $5.63 $5.63,,
AWS CLOUD SERVICES,1,57.15
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  57.15  <> 4 66080 721278 B5 03 3270  CIBACK AWS CLOUD SERVICES 2025.08 57.15   <> Total          $57.15 $57.15,,
AWS CLOUD SERVICES,1,171.4
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  171.40  <> 4 18082 403933 2D 03 3270 DSG AWSHVC AWS CLOUD SERVICES 2025.08 171.40   <> Total          $171.40 $171.40,,
AWS CLOUD SERVICES,1,880.92
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  880.92  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.08 880.92   <> Total          $880.92 $880.92,,
AWS CLOUD SERVICES,1,1.77
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  1.77  <> 4 18125 446465 4A 03 3270 AWS ITSVCS AWS CLOUD SERVICES 2025.08 1.77   <> Total          $1.77 $1.77,,
AWS CLOUD SERVICES,1,149.74
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  149.74  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.08 149.74   <> Total          $149.74 $149.74,,
AWS CLOUD SERVICES,1,4801.29
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  4801.29  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.08 4801.29   <> Total          $4,801.29 $4,801.29",,
AWS CLOUD SERVICES,1,0.02
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  0.02  <> 4 85188 442521 SM 03 3270  IOBT AWS CLOUD SERVICES 2025.08 0.02   <> Total          $0.02 $0.02,,
AWS CLOUD SERVICES,1,620.56
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  620.56  <> 4 66080 721275 AA 03 3270  HROPTX AWS CLOUD SERVICES 2025.08 620.56   <> Total          $620.56 $620.56,,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  0.01  <> 4 70000 760416  03 3270  3 AWS CLOUD SERVICES 2025.08 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,937.9
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  937.90  <> 4 19900 605000 DA 03 3270   AWS CLOUD SERVICES 2025.08 937.90   <> Total          $937.90 $937.90,,
AWS CLOUD SERVICES,1,32.39
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  32.39  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.08 32.39   <> Total          $32.39 $32.39,,
AWS CLOUD SERVICES,1,1668.07
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  1668.07  <> 4 18082 403933 2D 03 3270 DSG AWSHUM AWS CLOUD SERVICES 2025.08 1668.07   <> Total          $1,668.07 $1,668.07",,
AWS CLOUD SERVICES,1,942.67
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  942.67  <> 4 19900 727601 OP 03 3270  ASSOAX AWS CLOUD SERVICES 2025.08 942.67   <> Total          $942.67 $942.67,,
AWS CLOUD SERVICES,1,3101.61
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  3101.61  <> 4 19900 727601 ED 03 3270  IMACCS AWS CLOUD SERVICES 2025.08 3101.61   <> Total          $3,101.61 $3,101.61",,
AWS CLOUD SERVICES,1,258.25
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  258.25  <> 4 69086 402733 SH 03 3270   AWS CLOUD SERVICES 2025.08 258.25   <> Total          $258.25 $258.25,,
AWS CLOUD SERVICES,1,4970.03
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  4970.03  <> 4 19900 727601 AC 03 3270  DBADMN AWS CLOUD SERVICES 2025.08 4970.03   <> Total          $4,970.03 $4,970.03",,
AWS CLOUD SERVICES,1,2248.97
