component_raw,cost,service,component,source,date
Dataverse-production,221.7205350465,Dataverse,production,dataverse_costs,2025-01-01
Dataverse-Production,116.8736885511,Dataverse,production,dataverse_costs,2025-01-01
Dataverse Production ,12.4812156018,Dataverse,production,dataverse_costs,2025-01-01
Dataverse-production,221.720535,Dataverse,production,rotated_costs,2025-01-01
Dataverse-Production,116.8736886,Dataverse,production,rotated_costs,2025-01-01
Dataverse Production,12.4812156,Dataverse,production,rotated_costs,2025-01-01
Dataverse-production,217.2935800863,Dataverse,production,dataverse_costs,2025-02-01
Dataverse-Production,120.5406258792,Dataverse,production,dataverse_costs,2025-02-01
Dataverse Production ,12.1711008636,Dataverse,production,dataverse_costs,2025-02-01
Dataverse-production,217.2935801,Dataverse,production,rotated_costs,2025-02-01
Dataverse-Production,120.5406259,Dataverse,production,rotated_costs,2025-02-01
Dataverse Production,12.17110086,Dataverse,production,rotated_costs,2025-02-01
Dataverse-production,235.0993413082,Dataverse,production,dataverse_costs,2025-03-01
Dataverse-Production,119.1389266303,Dataverse,production,dataverse_costs,2025-03-01
Dataverse Production ,12.481185286,Dataverse,production,dataverse_costs,2025-03-01
Dataverse-production,235.0993413,Dataverse,production,rotated_costs,2025-03-01
Dataverse-Production,119.1389266,Dataverse,production,rotated_costs,2025-03-01
Dataverse Production,12.48118529,Dataverse,production,rotated_costs,2025-03-01
Dataverse-production,252.7489113012,Dataverse,production,dataverse_costs,2025-04-01
Dataverse-Production,120.9174662494,Dataverse,production,dataverse_costs,2025-04-01
Dataverse Production ,12.4811956776,Dataverse,production,dataverse_costs,2025-04-01
Production-Dataverse,0.274431627,Dataverse,production,rotated_costs,2025-04-01
Dataverse-production,252.7489113,Dataverse,production,rotated_costs,2025-04-01
Dataverse-Production,120.9174662,Dataverse,production,rotated_costs,2025-04-01
Dataverse Production,12.48119568,Dataverse,production,rotated_costs,2025-04-01
Dataverse-Production,121.2990923434,Dataverse,production,dataverse_costs,2025-05-01
Dataverse Production ,12.481181676,Dataverse,production,dataverse_costs,2025-05-01
Production-Dataverse,347.3299798,Dataverse,production,rotated_costs,2025-05-01
Dataverse-Production,121.2990923,Dataverse,production,rotated_costs,2025-05-01
Dataverse Production,12.48118168,Dataverse,production,rotated_costs,2025-05-01
Dataverse-Production,118.1762002697,Dataverse,production,dataverse_costs,2025-06-01
Dataverse Production ,12.481174852,Dataverse,production,dataverse_costs,2025-06-01
Production-Dataverse,268.0647862,Dataverse,production,rotated_costs,2025-06-01
Dataverse-Production,118.1762003,Dataverse,production,rotated_costs,2025-06-01
Dataverse Production,12.48117485,Dataverse,production,rotated_costs,2025-06-01
Dataverse-Production,123.9904150061,Dataverse,production,dataverse_costs,2025-07-01
Dataverse Production ,12.481192494,Dataverse,production,dataverse_costs,2025-07-01
Production-Dataverse,292.2893828,Dataverse,production,rotated_costs,2025-07-01
Dataverse-Production,123.990415,Dataverse,production,rotated_costs,2025-07-01
Dataverse Production,12.48119249,Dataverse,production,rotated_costs,2025-07-01
Dataverse-Production,83.4503679263,Dataverse,production,dataverse_costs,2025-08-01
Dataverse Production ,8.455020308,Dataverse,production,dataverse_costs,2025-08-01
Production-Dataverse,155.4591649,Dataverse,production,rotated_costs,2025-08-01
Dataverse-Production,83.45036793,Dataverse,production,rotated_costs,2025-08-01
Dataverse Production,8.455020308,Dataverse,production,rotated_costs,2025-08-01
Dataverse-Test-storage,3.0929e-05,Dataverse,storage,dataverse_costs,2025-04-01
Dataverse-Test-storage,3.0929e-05,Dataverse,storage,rotated_costs,2025-04-01
Dataverse-Test-storage,3.0018303931,Dataverse,storage,dataverse_costs,2025-05-01
