"Service","EC2-Other($)","S3($)","EC2-Instances($)","Savings Plans for  Compute usage($)","Total costs($)"
"Service total","3637.9435360111","2609.8125946933","769.8041119672","0","7017.5602426716"
"2025-01-01","10.1954858706","7.0048096709","3.9781588641","0","21.1784544056"
"2025-01-02","10.1953449929","7.0014333037","0.2977990122","0","17.4945773088"
"2025-01-03","10.195911196","7.0182221773","0.442149624","0","17.6562829973"
"2025-01-04","10.196601145","7.0093216484","0.1391806016","0","17.345103395"
"2025-01-05","10.1951687567","7.0056903672","0.1177263678","0","17.3185854917"
"2025-01-06","10.1974538899","7.0356663891","8.6691909071","0","25.9023111861"
"2025-01-07","10.1966846867","7.0626654603","2.3173815484","0","19.5767316954"
"2025-01-08","10.1955907229","7.0410351348","2.1024260075","0","19.3390518652"
"2025-01-09","10.2155019561","7.0735115155","0.3894448856","0","17.6784583572"
"2025-01-10","10.1955769436","7.0204665099","1.283393479","0","18.4994369325"
"2025-01-11","10.1967754372","7.0148928036","0.1059353013","0","17.3176035421"
"2025-01-12","10.1981268796","7.0104459829","0.1869947889","0","17.3955676514"
"2025-01-13","10.1974109952","7.0346884843","0.3941393184","0","17.6262387979"
"2025-01-14","10.2227116292","7.0144569548","0.1972029916","0","17.4343715756"
"2025-01-15","10.1971483737","7.0229203365","0.1074559429","0","17.3275246531"
"2025-01-16","10.1966717565","7.0017047932","0.073531062","0","17.2719076117"
"2025-01-17","10.1972503234","7.0057269594","0.9118473479","0","18.1148246307"
"2025-01-18","10.1976797278","7.0143708963","0.556056257","0","17.7681068811"
"2025-01-19","10.1969747763","7.0126014972","0.3416358017","0","17.5512120752"
"2025-01-20","10.1978155412","7.0260802756","2.0869003735","0","19.3107961903"
"2025-01-21","10.1960932915","7.0078582511","1.8707638421","0","19.0747153847"
"2025-01-22","10.2026184012","7.1286211389","0.4515025936","0","17.7827421337"
"2025-01-23","10.195285049","7.0089636312","2.0896708357","0","19.2939195159"
"2025-01-24","10.1948275723","7.0236710245","0.6127601849","0","17.8312587817"
"2025-01-25","10.196074125","7.0135265682","0.420018289","0","17.6296189822"
"2025-01-26","10.1962134919","7.0116070003","0.2356599476","0","17.4434804398"
"2025-01-27","10.1960369149","7.0206709642","0.3321099893","0","17.5488178684"
"2025-01-28","10.1963814181","7.0373464018","1.6279860551","0","18.861713875"
"2025-01-29","10.1963360923","7.0574260975","0.2373461508","0","17.4911083406"
"2025-01-30","10.1962138981","7.0149501126","0.2435982055","0","17.4547622162"
"2025-01-31","10.1961438122","7.0523358006","0.2599601397","0","17.5084397525"
"2025-02-01","11.100158521","7.7597438657","0.3710214695","0","19.2309238562"
"2025-02-02","11.1006733492","7.7610199736","2.1025356802","0","20.964229003"
"2025-02-03","11.1013512738","7.7723170628","0.3473272112","0","19.2209955478"
"2025-02-04","11.100799961","7.8032955717","1.2941257245","0","20.1982212572"
"2025-02-05","11.1035566646","7.7792645987","1.7099641103","0","20.5927853736"
"2025-02-06","11.101695184","7.8867165669","1.3405477684","0","20.3289595193"
"2025-02-07","11.1015091371","7.936138906","2.3670146456","0","21.4046626887"
