"application","Production-Dataverse($)","Potree-storage($)","Potree($)","Dataverse-Production($)","Dataverse-production($)","Dataverse-Test($)","Dataverse-Production-storage($)","Test-Dataverse($)","Potree-computing($)","Test-Dataverse-Rocky9($)","potree($)","Production-Processing($)","Dataverse Production  ($)","Dataverse-Test-storage($)","LARIAC($)","LARIAC test($)","LARIAC backup($)","billing-info($)","SSDA($)","test-3d($)","Dataverse-Test-storage-upgrade($)","No tag key: application($)","Total costs($)"
"application total","2053.7711833245","1793.1586366704","979.2018170127","928.2002268786","926.8623677422","602.3048491241","570.25119356","534.5934199274","507.0535385378","408.0851609289","266.9997723623","220.2331189133","141.814494719","22.8553277726","6.3484780334","2.4167956293","0.8393776281","0.2313423355","0.2008843897","0.0036420044","0.0012110424","-2947.866595865","7017.5602426716"
"2025-01-01","","","8.1895915003","3.8431202613","10.7473291988","0.111517279","","","","","2.2283999326","","0.4026191498","","0.0218460984","0.0071646154","0.0024882379","0.0004950789","0.000332323","0.0000112466","","-4.3764605164","21.1784544056"
"2025-01-02","","","8.189167531","3.839281727","6.1992999733","0.1115436765","","","","","2.2305760055","","0.4026203458","","0.0218604959","0.0071622129","0.0024858354","0.0005539708","0.000329919","0.0000088441","","-3.5103132284","17.4945773088"
"2025-01-03","","","8.2110013592","3.837814113","6.3793085212","0.111548885","","","","","2.2286479496","","0.4026191498","","0.0217977074","0.0071646159","0.0024882384","0.0005174427","0.0007847285","0.0000116496","","-3.547421363","17.6562829973"
"2025-01-04","","","8.2022284465","3.8361745739","6.0084196513","0.1113988791","","","","","2.2283607737","","0.4026211498","","0.0216960985","0.0071646155","0.0024878354","0.0005577691","0.000399121","0.0000112467","","-3.4764167655","17.345103395"
"2025-01-05","","","7.8384953079","3.7478957304","5.9757996263","0.1066779179","","","","","2.2293950404","","0.4026191498","","0.0210710593","0.0068536036","0.0023805427","0.0004990792","0.0007736269","0.0000108441","","-3.0138860368","17.3185854917"
"2025-01-06","","","7.8349212371","3.7888520964","16.5352613422","0.1065635157","","","","","2.2333727101","","0.4026211498","","0.0212014572","0.0068532012","0.0023801403","0.0004990224","0.0003648271","0.0000108442","","-5.0305903576","25.9023111861"
"2025-01-07","","","7.8608894293","3.7943011578","8.6945010977","0.1067695105","","","","","2.2288601733","","0.4026191498","","0.0219826494","0.0068532012","0.0023801403","0.0004990022","0.0013236245","0.0000108442","","-3.5442582848","19.5767316954"
"2025-01-08","","","7.8794531638","3.7508966329","8.4285446028","0.1067275129","","","","","2.2288417463","","0.4026203458","","0.0210418518","0.0068512011","0.0023781402","0.0004774227","0.0004612199","0.0000084416","","-3.4892504166","19.3390518652"
"2025-01-09","","","7.9200894229","3.7504162063","6.3377044372","0.1066463104","","","","","2.2303404697","","0.4026191498","","0.0210406543","0.0068532011","0.0023801402","0.0005001243","0.0004556244","0.0000108441","","-3.1005982275","17.6784583572"
"2025-01-10","","","7.8527903187","3.7521339834","7.4172283409","0.1066815154","","","","","2.2297661094","","0.4026215518","","0.0210694518","0.0068540036","0.0023805427","0.0005015784","0.0004472284","0.0000112441","","-3.2930489361","18.4994369325"
"2025-01-11","","","7.8489051499","3.7493225914","5.9657875116","0.1066795079","","","","","2.2283085637","","0.4026187478","","0.0210146468","0.0068527986","0.0023797377","0.000500721","0.0003684199","0.0000104416","","-3.0151452958","17.3176035421"
"2025-01-12","","","7.8345879756","3.7580895779","6.0673569104","0.1066231104","","","","","2.2291030194","","0.4026211498","","0.0211078493","0.0068531986","0.0023805402","0.0005022577","0.0003652264","0.0000108441","","-3.0340340084","17.3955676514"
"2025-01-13","","","7.8670906796","3.755716873","6.3243687078","0.1066127229","","","","","2.2284611392","","0.4026187478","","0.0209486518","0.0068527986","0.0023805427","0.0005022443","0.0003440314","0.0000108441","","-3.0896691853","17.6262387979"
"2025-01-14","","","7.8334430107","3.7640602562","6.1099691384","0.1068011139","","","","","2.2281956096","","0.4026203458","","0.0210666558","0.0068512016","0.0023781407","0.0005008501","0.0003804209","0.0000088446","","-3.0419040127","17.4343715756"
"2025-01-15","","","7.8439703638","3.763923022","5.9682243291","0.1067711154","","","","","2.2285093999","","0.4026187478","","0.0210154493","0.0068532011","0.0023805427","0.0005034948","0.0005172269","0.0000108441","","-3.0177730838","17.3275246531"
"2025-01-16","","","7.8331118813","3.7479924838","5.9256221896","0.1067503079","","","","","2.2282506188","","0.4026207478","","0.0210918468","0.0068527986","0.0023797377","0.0005037907","0.0010432199","0.0000104416","","-3.0043224528","17.2719076117"
"2025-01-17","","","7.8332132321","3.7529295431","6.9583359974","0.1069011129","","","","","2.2286970657","","0.4026187478","","0.0213758543","0.0068532011","0.0023801402","0.0004849418","0.0005692244","0.0000108441","","-3.1995452742","18.1148246307"
"2025-01-18","","","7.8461440705","3.7511466219","6.5197371363","0.1066923079","","","","","2.2312243291","","0.4026207478","","0.0211246468","0.0068527986","0.0023797377","0.0005053238","0.0005184199","0.0000104416","","-3.1208497008","17.7681068811"
"2025-01-19","","","7.8331162838","3.7615296589","6.2538691456","0.1069491129","","","","","2.2284810612","","0.4026191498","","0.0213194543","0.0068532011","0.0023801402","0.0005065336","0.0005408219","0.0000104416","","-3.0669629297","17.5512120752"
"2025-01-20","","","7.8456553203","3.7655180511","8.413737772","0.1067195575","","","","","2.228353129","","0.4026211498","","0.0211871388","0.0068524202","0.0023789463","0.0005061816","0.0010108465","0.0000104672","","-3.48375479","19.3107961903"
"2025-01-21","","","7.8336731459","3.754318024","8.1403875723","0.1069867079","","","","","2.2284726916","","0.4026187478","","0.0212494468","0.0068527986","0.0023797377","0.0005078469","0.0013780199","0.0000104416","","-3.4241197963","19.0747153847"
"2025-01-22","","","7.9752550525","3.7582248754","6.3896053959","0.1067951079","","","","","2.2287668086","","0.4026207478","","0.0212378468","0.0068531986","0.0023801377","0.0005088556","0.0010188707","0.0000108416","","-3.1105356054","17.7827421337"
"2025-01-23","","","7.8332629048","3.7568035518","8.4096937829","0.1068855179","","","","","2.2285312548","","0.4026187478","","0.0214722568","0.0068532011","0.0023801402","0.000490213","0.0005544264","0.0000112466","","-3.4756377282","19.2939195159"
"2025-01-24","","","7.8498197732","3.7585671506","6.5868152691","0.1068979528","","","","","2.2288785585","","0.4026207478","","0.0212307345","0.0068540177","0.0023801438","0.0005108154","0.0005899095","0.0000116643","","-3.1339179555","17.8312587817"
"2025-01-25","","","7.8331094843","3.7634513566","6.3480141228","0.1066291139","","","","","2.2302524221","","0.4026187458","","0.0209934558","0.0068512016","0.0023781407","0.0005094993","0.0004400229","0.0000088446","","-3.0856374282","17.6296189822"
"2025-01-26","","","7.8336022714","3.7602414672","6.1222897127","0.1069011129","","","","","2.228500173","","0.4026211498","","0.0210926543","0.0068532011","0.0023801402","0.000512922","0.0003740244","0.0000104416","","-3.0418988308","17.4434804398"
"2025-01-27","","","7.8459183609","3.7593025176","6.2436787247","0.1067071204","","","","","2.2292365972","","0.4026195518","","0.0211162618","0.0068544061","0.0023813452","0.00051486","0.0003604314","0.0000116466","","-3.0698839553","17.5488178684"
"2025-01-28","","","7.8578716692","3.7671774189","7.8390905522","0.1069347154","","","","","2.2305465762","","0.4026207478","","0.0216458543","0.0068532011","0.0023801402","0.0005147928","0.0003504269","0.0000108441","","-3.3742830641","18.861713875"
"2025-01-29","","","7.8940327025","3.7560375794","6.1243632916","0.1067043104","","","","","2.2293175455","","0.4026183458","","0.0216871438","0.0068507986","0.0023777377","0.0004785778","0.0003828179","0.0000084416","","-3.053750952","17.4911083406"
"2025-01-30","","","7.8356476237","3.7619249484","6.1312654971","0.1067719104","","","","","2.2303329724","","0.4026207478","","0.0215647463","0.0068532011","0.0023797377","0.0005164032","0.0004224244","0.0000104416","","-3.0455484379","17.4547622162"
"2025-01-31","","","7.8776002019","3.7665244995","6.1549254953","0.1067971139","","","","","2.2285154902","","0.4026187478","","0.0211868527","0.0068532016","0.0023801407","0.0005176649","0.0004012229","0.0000108446","","-3.0598917235","17.5084397525"
"2025-02-01","","","9.0665939878","4.2608390153","6.2872523307","0.1236146131","","","","","2.2298783219","","0.4457575244","","0.0239624125","0.0079302427","0.0027528249","0.0005791225","0.0003987209","0.0000104416","","-3.2186457021","19.2309238562"
"2025-02-02","","","9.0766886095","4.2526440653","8.4299855054","0.123398663","","","","","2.2284712324","","0.4457559264","","0.0238133068","0.0079318643","0.002753231","0.0006155167","0.0004215453","0.0000120668","","-3.6282625299","20.964229003"
"2025-02-03","","","9.0794187419","4.263487416","6.2615910513","0.1236150131","","","","","2.2286319372","","0.4457571224","","0.0240144125","0.0079282427","0.0027508249","0.0005738948","0.0004278431","0.0000084416","","-3.2172093937","19.2209955478"
"2025-02-04","","","8.6841713007","4.203884446","7.4279025119","0.1180171798","","","","","2.233241002","","0.4457555244","","0.0219009829","0.0075863107","0.0026339933","0.0005888798","0.0004193617","0.0000108441","","-2.9478910801","20.1982212572"
"2025-02-05","","","8.672554915","4.1879450181","7.9376903008","0.1182623858","","","","","2.2326257826","","0.4457579264","","0.0195185919","0.0075867137","0.0026339938","0.0005705993","0.0004436124","0.0000112471","","-3.0328157133","20.5927853736"
"2025-02-06","","","8.6908992313","4.3024034628","7.4830558895","0.1181139748","","","","","2.2300276556","","0.4457555244","","0.0195673779","0.0075863082","0.0026339908","0.0005705853","0.0004200069","0.0000108416","","-2.9720853298","20.3289595193"
"2025-02-07","","","8.6723765641","4.3822617936","8.7514079139","0.1180535748","","","","","2.2298108154","","0.4457575224","","0.0193589779","0.0075839082","0.0026315908","0.0005684667","0.0003684049","0.0000084416","","-3.2255252856","21.4046626887"
"2025-02-08","","","8.7252152593","4.3408178233","8.3910491437","0.1182903823","","","","","2.2321910858","","0.4457555244","","0.0192737954","0.0075871157","0.0026339933","0.000572284","0.0004700139","0.0000108441","","-3.1616745298","21.1221927354"
"2025-02-09","","","8.6723641862","4.7958751883","11.6254455806","0.1180280247","","","","","2.228651643","","0.4457575244","","0.0191946656","0.0075871273","0.0026343994","0.0005718116","0.0005652338","0.0000116647","","-3.8547977325","24.0618893171"
"2025-02-10","","","8.6723609666","4.4566089224","7.4620939233","0.1183015798","","","","","2.2304422617","","0.4457551224","","0.0192461854","0.0075843107","0.0026319933","0.0005703352","0.0005112084","0.0000088441","","-2.9997336822","20.4163819711"
"2025-02-11","","","8.6954708417","4.4550039596","8.721037137","0.1180851858","","","","","2.2288061076","","0.4457575244","","0.0192693869","0.0075867137","0.0026343963","0.0005732995","0.0006288125","0.0000108446","","-3.2454852784","21.4493789312"
"2025-02-12","","","8.6819377759","4.2044933288","6.6337405366","0.1182831748","","","","","2.2292622743","","0.4457555244","","0.0193193779","0.0075859082","0.0026335908","0.000573092","0.0005672069","0.0000104416","","-2.7966697625","19.5474924697"
"2025-02-13","","","8.6820187191","4.1089998696","8.1618961966","0.1178067773","","","","","2.2285902749","","0.4263773608","","0.0194309829","0.0075863107","0.0026339933","0.0005741262","0.0004484948","0.0000108441","","-3.0666828213","20.689691129"
"2025-02-14","","","8.6830966443","4.1040800595","8.8946806762","0.1177931773","","","","","2.2281965423","","0.4263749588","","0.0193865829","0.0075843107","0.0026319933","0.0005730215","0.0005332953","0.0000088441","","-3.2072785726","21.2776615336"
"2025-02-15","","","8.6872243693","4.1138372233","6.1487855626","0.117800025","","","","","2.2379537752","","0.4263777628","","0.0194498672","0.0075875298","0.0026343994","0.0005761539","0.0005013197","0.0000120668","","-2.6900491539","19.0726909011"
"2025-02-16","","","8.672382671","4.1211538689","6.9785857491","0.1177967748","","","","","2.2289671121","","0.4263753608","","0.0194505779","0.0075859082","0.0026335908","0.0005758695","0.000479139","0.0000104416","","-2.8440862702","19.7319107935"
"2025-02-17","","","8.6725434811","4.1073209518","6.5517478147","0.1177967748","","","","","2.2284951983","","0.4263773608","","0.0193861779","0.0075859082","0.0026335908","0.000576691","0.0004496928","0.0000104416","","-2.7594927499","19.3754313339"
"2025-02-18","","","8.6725315018","4.110115341","7.7673926249","0.1177964222","","","","","2.2279983477","","0.4263749588","","0.0192658726","0.0075859298","0.0026327994","0.0005767562","0.0004843439","0.0000104668","","-2.9903848798","20.3623804853"
"2025-02-19","","","8.6728723206","4.1209454992","6.9155489079","0.1177967748","","","","","2.228202134","","0.4263773608","","0.0195781829","0.0075859082","0.0026339933","0.0005788415","0.0004924948","0.0000104416","","-2.8310275428","19.6815953168"
"2025-02-20","","","8.6724186492","4.1129314078","7.8591775645","0.1177967748","","","","","2.2298806203","","0.4263761608","","0.0194557779","0.0075859082","0.0026335908","0.0005793654","0.0004680928","0.0000104416","","-3.0091798342","20.4401345199"
"2025-02-21","","","8.7082974041","4.1107775802","6.3961014257","0.1177983848","","","","","2.2284637097","","0.4263777628","","0.0193821854","0.0075867132","0.0026343958","0.000581133","0.0004917018","0.0000108441","","-2.7337492076","19.284754033"
"2025-02-22","","","8.6723781696","4.1242905201","6.2252647501","0.1177943858","","","","","2.2283672422","","0.4263753608","","0.0194145944","0.0075847137","0.0026323963","0.0005601415","0.0004876983","0.0000092471","","-2.7013533589","19.123805861"
"2025-02-23","","","8.6797168919","4.1652039065","6.4207017302","0.1177971773","","","","","2.2286965652","","0.4263773608","","0.0194665779","0.0075859082","0.0026335908","0.0005824544","0.0005090029","0.0000104416","","-2.7480463699","19.3212352378"
"2025-02-24","","","8.6723892547","4.7039640369","8.9682600441","0.1177975798","","","","","2.2300442805","","0.4263753608","","0.0196713829","0.0075863107","0.0026339933","0.0005839427","0.0004820973","0.0000104416","","-3.3334921643","21.816306561"
"2025-02-25","","","8.6937915761","4.9774355835","9.387218526","0.1177991898","","","","","2.2320783188","","0.4263777628","","0.0193937904","0.0075875182","0.0026352008","0.0005855156","0.0004385063","0.0000112466","","-3.4695817514","22.3957709835"
"2025-02-26","","","8.6775397206","4.8908612344","12.3725311649","0.1178031808","","","","","2.2282398532","","0.4263749588","","0.0195057869","0.0075843112","0.0026323938","0.0005842979","0.0004676958","0.0000088446","","-4.0151815879","24.728951855"
"2025-02-27","","","8.6766935441","4.4372589918","6.4926111308","0.1181543748","","","","","2.2298248787","","0.4263773608","","0.0195245779","0.0075859082","0.0026335908","0.0005717165","0.0005762058","0.0000104416","","-2.8097020535","19.6021206683"
"2025-02-28","","","8.6723769641","4.1251853652","6.3408243933","0.1181839748","","","","","2.2317177754","","0.4263753608","","0.0194421779","0.0075859082","0.0026335908","0.0005729767","0.0005512928","0.0000104416","","-2.7213578204","19.2241024012"
"2025-03-01","","","8.1989229799","3.8986046332","10.9461234623","0.1116888421","","","","","2.2280595627","","0.402620224","","0.0182817042","0.0071653981","0.0024882415","0.0005657559","0.0005379588","0.0000120672","","-4.4263059921","21.3887648378"
"2025-03-02","","","8.2117129487","3.8835882121","6.0271433614","0.1115215925","","","","","2.2309539829","","0.40261742","","0.018278012","0.0071617765","0.0024854329","0.000568439","0.0004263692","0.0000084416","","-3.4935581191","17.4029078697"
"2025-03-03","","","8.2314446257","3.8884974881","5.990994941","0.1117663925","","","","","2.2296649388","","0.402619822","","0.018264812","0.0071637765","0.0024874329","0.0005460236","0.0004415884","0.0000104416","","-3.4885508191","17.395351464"
"2025-03-04","","","8.1965283229","3.8976807979","7.8807960945","0.111530795","","","","","2.2282014369","","0.402617822","","0.0183356145","0.0071645765","0.0024882329","0.0005821123","0.000599121","0.0000112416","","-3.8448472761","18.9016888919"
"2025-03-05","","","7.8331435124","3.801821255","6.6049520282","0.1069302289","","","","","2.228050048","","0.402619822","","0.0176045615","0.0068527647","0.0023797377","0.0005406882","0.0007104199","0.0000104416","","-3.1418728916","17.8637426165"
"2025-03-06","","","7.8331531149","3.8658208497","6.0654650372","0.1072466328","","","","","2.2296432132","","0.40261742","","0.0178754139","0.0068659162","0.0023781402","0.0005393209","0.0008184199","0.0000138676","","-3.0584055549","17.4740317916"
"2025-03-07","","","8.2818288798","3.8216128122","6.0877208178","0.1078359243","","","","","2.2328343275","","0.402620224","","0.0177650214","0.0068683187","0.0023801402","0.0005418295","0.0004408244","0.0000158676","","-3.137446955","17.8250180324"
"2025-03-08","","","7.8435587719","3.8169523016","5.9706916226","0.1066054399","","","","","2.2284084545","","0.402617822","","0.0177797755","0.0068535702","0.0023805432","0.0005426496","0.0005124274","0.0000112471","","-3.0328049609","17.3641096646"
"2025-03-09","","","7.8441565822","3.8267687622","6.0996940546","0.1067870339","","","","","2.2300354179","","0.402619822","","0.018043764","0.0068527647","0.0023797377","0.0005427003","0.0005032753","0.0000104416","","-3.0569889321","17.4814054243"
"2025-03-10","","","7.8336309433","3.8202529384","6.069485361","0.1069648738","","","","","2.228709648","","0.40261742","","0.017982649","0.0068519838","0.0023781438","0.0005411907","0.00056164","0.0000096643","","-3.0471516796","17.4428347765"
"2025-03-11","","","7.8493145018","3.8094069734","8.7064310253","0.1068830364","","","","","2.2328875525","","0.402620224","","0.017899764","0.0068527647","0.0023801402","0.0005441117","0.0004788269","0.0000104416","","-3.5494075143","19.5863018482"
"2025-03-12","","","7.8350356163","3.8343894817","9.3011027908","0.1066786339","","","","","2.2287446493","","0.402618224","","0.0177549615","0.0068535672","0.0023801377","0.0005444766","0.0004512284","0.0000108416","","-3.665484783","20.071079826"
"2025-03-13","","","7.8512273625","3.8275085896","8.4842637401","0.1069494314","","","","","2.2286321944","","0.402619822","","0.0176009615","0.0068527647","0.0023797377","0.0005444575","0.0003284199","0.0000104416","","-3.5085135066","19.4204044163"
"2025-03-14","","","7.8360619943","3.8076909385","8.5538603719","0.1066486863","","","","","2.2295094564","","0.402618224","","0.0174826637","0.0068527888","0.0023789488","0.0005440787","0.0003849245","0.0000104693","","-3.5192730829","19.4447704623"
"2025-03-15","","","7.8669508376","3.7980117116","7.6465622911","0.1067882439","","","","","2.2329992211","","0.402621028","","0.0175245815","0.0068539722","0.0023809452","0.0005263368","0.0003573066","0.0000108441","","-3.3502433251","18.7313439946"
"2025-03-16","","","7.8391041072","3.8083408723","19.9961446261","0.1066274399","","","","","2.2294248346","","0.402617822","","0.0173877755","0.0068531677","0.0023801407","0.0005470746","0.0003501758","0.0000112471","","-5.6936659836","28.7161232999"
"2025-03-17","","","7.8433374104","3.8155608924","6.5354733126","0.1074850314","","","","","2.2310218399","","0.402619822","","0.0174593615","0.0068527647","0.0023797377","0.0005467707","0.0003672951","0.0000104416","","-3.1302473991","17.8328672809"
"2025-03-18","","","7.833297264","3.797444188","9.4579381598","0.1071718262","","","","","2.2303821302","","0.402617018","","0.0174677537","0.0068503621","0.0023773351","0.0005454222","0.0003400133","0.000008039","","-3.6853265423","20.1711129693"
"2025-03-19","","","7.8562998788","3.7995599124","7.0106382158","0.1074134314","","","","","2.2300123505","","0.402619822","","0.0174845615","0.0068527647","0.0023797377","0.0005486539","0.0003492199","0.0000104416","","-3.2216980892","18.212470901"
"2025-03-20","","","7.8343806397","3.7955267721","7.1849249486","0.1068790314","","","","","2.2309325716","","0.402617822","","0.0174545615","0.0068527647","0.0023797377","0.0005492262","0.0003192199","0.0000104416","","-3.2535817623","18.3292459747"
"2025-03-21","","","7.8643343711","3.8199919241","6.4103560666","0.1066362389","","","","","2.2292656786","","0.402619822","","0.017384974","0.0068515697","0.0023781402","0.0005489137","0.0002968224","0.0000088441","","-3.1183891616","17.7422842038"
"2025-03-22","","","7.8332022989","3.8949028043","6.5180822049","0.1068662314","","","","","2.2281165471","","0.402617822","","0.0174233615","0.0068527647","0.0023797377","0.0005510223","0.0003132199","0.0000104416","","-3.1362134753","17.875104981"
"2025-03-23","","","7.8331319124","3.8355545751","6.2270423711","0.1066070314","","","","","2.2281464503","","0.402619822","","0.0174725615","0.0068527647","0.0023797377","0.0005520061","0.0002976199","0.0000104416","","-3.0815120747","17.5791552191"
"2025-03-24","","","7.8331347154","3.8128556409","6.2351858386","0.1067198374","","","","","2.2337793216","","0.402617822","","0.0175753705","0.0068531677","0.0023801407","0.0005534174","0.0004110748","0.0000108446","","-3.0788943895","17.5731828021"
"2025-03-25","","","7.8331419318","3.8376316072","8.8276968117","0.1068038763","","","","","2.2298983641","","0.40261942","","0.0174902483","0.0068519838","0.0023781438","0.0005524588","0.0003516403","0.0000096647","","-3.5762405739","19.6891855769"
"2025-03-26","","","7.8338654702","3.8528847909","7.6666845295","0.1069622314","","","","","2.2289017231","","0.402617822","","0.0174661615","0.0068527647","0.0023797377","0.0005401194","0.0003696199","0.0000104416","","-3.3554458263","18.7640895856"
"2025-03-27","","","7.8519485203","3.7976964781","7.365307942","0.1066902314","","","","","2.2304496225","","0.402619822","","0.0175073615","0.0068527647","0.0023797377","0.0005562207","0.0004196199","0.0000104416","","-3.2845490263","18.4978897361"
"2025-03-28","","","7.8331447149","3.9740991619","6.6479110618","0.1068126364","","","","","2.2283782078","","0.402617822","","0.0175557665","0.0068531672","0.0023797377","0.0005727644","0.0006384244","0.0000104416","","-3.1618700352","18.0591038714"
"2025-03-29","","","7.8341197506","3.9201385554","6.2190727747","0.1065878364","","","","","2.2291815519","","0.402619822","","0.017506969","0.0068511672","0.0023781402","0.0005269332","0.0003800199","0.0000088441","","-3.0954215752","17.6439507894"
