dataset_doi,link_status,pub_types,paper_ids,in_openalex,export_date
10.25346/S6/B0LI8P,linked,isbn,,False,2026-03-09
10.25346/S6/NI2QFL,linked,doi,10.1029/2019JB018893,True,2026-03-09
10.25346/S6/88MACV,linked,isbn,,False,2026-03-09
10.25346/S6/HCECPO,linked,isbn,,False,2026-03-09
10.25346/S6/LRV0ES,no_publication_field,,,,2026-03-09
10.25346/S6/SB6KFF,linked,isbn,,False,2026-03-09
10.25346/S6/PULTIP,linked,isbn,,False,2026-03-09
10.25346/S6/5LGMZJ,linked,isbn,,False,2026-03-09
10.25346/S6/QU8FG5,linked,isbn,,False,2026-03-09
10.25346/S6/FHJGQQ,linked,isbn,,False,2026-03-09
10.25346/S6/F24EJT,linked,isbn,,False,2026-03-09
10.25346/S6/OOUCAQ,linked,isbn,,False,2026-03-09
10.25346/S6/38YEKN,linked,isbn,,False,2026-03-09
10.25346/S6/EKGCOC,linked,isbn,,False,2026-03-09
10.25346/S6/RGLDEM,linked,isbn,,False,2026-03-09
10.25346/S6/SP5RNY,linked,isbn,,False,2026-03-09
10.25346/S6/2Z9CAB,linked,isbn,,False,2026-03-09
10.25346/S6/7UTGQH,no_publication_field,,,,2026-03-09
10.25346/S6/YAD2PC,linked,isbn,,False,2026-03-09
10.25346/S6/LDKBDA,linked,isbn,,False,2026-03-09
10.25346/S6/UI7KJP,linked,isbn,,False,2026-03-09
10.25346/S6/AW8EYY,linked,isbn,,False,2026-03-09
10.25346/S6/QRIJRW,linked,isbn,,False,2026-03-09
10.25346/S6/9VWVKW,linked,isbn,,False,2026-03-09
10.25346/S6/BFIWGF,linked,isbn,,False,2026-03-09
10.25346/S6/PIE2HJ,linked,isbn,,False,2026-03-09
10.25346/S6/LUZ8UF,linked,isbn,,False,2026-03-09
10.25346/S6/6EEJAH,linked,isbn,,False,2026-03-09
10.25346/S6/S8POSL,linked,isbn,,False,2026-03-09
10.25346/S6/UYSVUY,no_publication_field,,,,2026-03-09
10.25346/S6/WA4MJL,no_publication_field,,,,2026-03-09
10.25346/S6/XTWV0S,linked,isbn,,False,2026-03-09
10.25346/S6/ID8MEG,no_publication_field,,,,2026-03-09
10.25346/S6/3RRQ6I,linked,isbn,,False,2026-03-09
10.25346/S6/HQGBLU,no_publication_field,,,,2026-03-09
10.25346/S6/YU2IW3,linked,isbn,,False,2026-03-09
10.25346/S6/YEW3A1,linked,isbn,,False,2026-03-09
10.25346/S6/IN2TVK,linked,isbn,,False,2026-03-09
10.25346/S6/2MC4O1,linked,isbn,,False,2026-03-09
10.25346/S6/FPOGG4,linked,isbn,,False,2026-03-09
10.25346/S6/IZBUQF,linked,isbn,,False,2026-03-09
10.25346/S6/CGATS3,linked,isbn,,False,2026-03-09
10.25346/S6/PE6WU5,linked,isbn,,False,2026-03-09
10.25346/S6/3FWDWE,linked,isbn,,False,2026-03-09
10.25346/S6/UJOJHE,no_publication_field,,,,2026-03-09
10.25346/S6/9P0FNF,linked,isbn,,False,2026-03-09
10.25346/S6/1WMHC9,linked,isbn,,False,2026-03-09
10.25346/S6/IMN75V,linked,isbn,,False,2026-03-09
10.25346/S6/QLYFZO,linked,isbn,,False,2026-03-09
10.25346/S6/LLBSD6,linked,isbn,,False,2026-03-09
10.25346/S6/RNZ1W0,linked,isbn,,False,2026-03-09
10.25346/S6/XDTFVW,linked,isbn,,False,2026-03-09
10.25346/S6/32LBDJ,linked,isbn,,False,2026-03-09
10.25346/S6/6WJBRK,linked,isbn,,False,2026-03-09
10.25346/S6/HL3FSK,linked,isbn,,False,2026-03-09
10.25346/S6/R9ITVR,linked,isbn,,False,2026-03-09
10.25346/S6/3ALZVR,linked,isbn,,False,2026-03-09
10.25346/S6/EEFYIP,no_publication_field,,,,2026-03-09
10.25346/S6/MSSC65,no_publication_field,,,,2026-03-09
10.25346/S6/WDRBKE,linked,doi,10.1149/1945-7111/ab6ee8,True,2026-03-09
10.25346/S6/8ULQBJ,linked,isbn,,False,2026-03-09
10.25346/S6/YDGENR,linked,isbn,,False,2026-03-09
