paper_id,title,year,journal,cited_by,linked_datasets,dataset_count,openalex_id,export_date
10.1029/2019JB018893,Stable Rate of Slip Along the Karakax Section of the Altyn Tagh Fault from Observation of Interglacial and Postglacial O,2020,Journal of Geophysical Research Solid Earth,21,10.25346/S6/NI2QFL,1,https://openalex.org/W3014218466,2026-08-21
10.3847/1538-4357/aa67e6,Uniform Silicon Isotope Ratios Across the Milky Way Galaxy,2017,The Astrophysical Journal,13,10.25346/S6/9PSYUU,1,https://openalex.org/W2609424695,2026-08-21
35047847,Identification of 90 NAFLD GWAS loci and establishment of NAFLD PRS and causal role of NAFLD in coronary artery disease,2021,Human Genetics and Genomics Advances,47,10.25346/S6/ENLMWL,1,https://openalex.org/W3196959564,2026-08-21
31562185,Voltage-clamp recordings of light responses from wild-type and mutant mouse cone photoreceptors,2019,The Journal of General Physiology,56,10.25346/S6/R3JVO2,1,https://openalex.org/W2976053079,2026-08-21
10.1149/1945-7111/ab6ee8,Rapid Analytical Instrumentation for Electrochemical Impedance Spectroscopy Measurements,2020,Journal of The Electrochemical Society,6,10.25346/S6/WDRBKE,1,https://openalex.org/W3005180752,2026-08-21
10.34948/N36P48,,,,,,,not_found,2026-08-21
10.1029/2024GL112061,Quasi‐Periodic Emissions in Saturn's Magnetosphere and Their Effects on Electrons,2025,Geophysical Research Letters,2,10.25346/S6/EBZCAD,1,https://openalex.org/W4406228157,2026-08-21
10.1017/aaq.2024.24,"Manifest Destiny in Southeast Asia: Archaeology of American Colonial Industry in the Philippines, 1898–1987",2024,American Antiquity,2,10.25346/S6/I1EBKJ;10.25346/S6/HFZYYX;10.25346/S6/YLECJN;10.25346/S6/L2E9IK;10.25346/S6/BO6GBC;10.25346/S6/FS5FOQ,6,https://openalex.org/W4396658375,2026-08-21
10.1029/2021SW002774,NARX Neural Network Derivations of the Outer Boundary Radiation Belt Electron Flux,2022,Space Weather,15,10.25346/S6/O1ZAZH,1,https://openalex.org/W4220654793,2026-08-21
10.15184/aqy.2021.19,"Volcanic climate forcing, extreme cold and the Neolithic Transition in the northern US Southwest",2021,Antiquity,6,10.25346/S6/LFS4H9;10.25346/S6/N3RVLC,2,https://openalex.org/W3216981732,2026-08-21
10.1029/2021GL097620,Depletions of Multi‐MeV Electrons and Their Association to Minima in Phase Space Density,2022,Geophysical Research Letters,38,10.25346/S6/B05T1T,1,https://openalex.org/W4226251343,2026-08-21
10.1103/qc7s-scbk,Measurement of the Alfvén Wave Parametric Decay Instability Growth Rate,2026,Physical Review Letters,1,10.25346/S6IQQ5ZZ,1,https://openalex.org/W7128429690,2026-08-21
10.1029/2020JA028707,A Comparison of Radial Diffusion Coefficients in 1‐D and 3‐D Long‐Term Radiation Belt Simulations,2021,Journal of Geophysical Research Space Physics,40,10.25346/S6/U9WFPD,1,https://openalex.org/W3184886283,2026-08-21
10.1109/MILCOM61039.2024.10773837,Drone RF Signal Detection and Fingerprinting: UAVSig Dataset and Deep Learning Approach,2024,,11,10.25346/S6/LVRRAE,1,https://openalex.org/W4405104179,2026-08-21
