date,count
"2019-08",15
"2019-09",44
"2019-10",48
"2019-11",51
"2019-12",51
"2020-01",56
"2020-02",56
"2020-03",57
"2020-04",94
"2020-05",115
"2020-06",122
"2020-07",126
"2020-08",132
"2020-09",144
"2020-10",144
"2020-11",270
"2020-12",307
"2021-01",307
"2021-02",655
"2021-03",757
"2021-04",869
"2021-05",1303
"2021-06",1305
"2021-07",1417
"2021-08",1462
"2021-09",1709
"2021-10",4684
"2021-11",5305
"2021-12",5391
"2022-01",5481
"2022-02",5508
"2022-03",5518
"2022-04",5527
"2022-05",6105
"2022-06",12624
"2022-07",12661
"2022-08",12695
"2022-09",12729
"2022-10",21463
"2022-11",21489
"2022-12",22296
"2023-01",22337
"2023-02",31356
"2023-03",31523
"2023-04",34335
"2023-05",34370
"2023-06",34545
"2023-07",35616
"2023-08",35622
"2023-09",35622
"2023-10",35623
"2023-11",35623
"2023-12",35646
"2024-01",35669
"2024-02",35722
"2024-03",35754
"2024-04",35795
"2024-05",35877
"2024-06",35895
"2024-07",37476
"2024-08",38311
"2024-09",38488
"2024-10",39239
"2024-11",41610
"2024-12",43106
"2025-01",43996
"2025-02",45356
"2025-03",45433
"2025-04",45593
"2025-05",45593
"2025-06",45593
"2025-07",45595
