contenttype,count,size
"application/dbf",1,13621
"application/dwg",23,49166096
"application/fits",1787,14078903040
"application/geo+json",4,8670678
"application/gzip",55,95692102
"application/javascript",12,2605908
"application/json",26,214829
"application/matlab-mat",1948,281172304734
"application/msword",181,36679016
"application/octet-stream",1166,92944641795
"application/pdf",3864,14145468994
"application/postscript",3,13788188
"application/prj",1,517
"application/rtf",9,982704
"application/shp",10,7733700
"application/shx",1,444
"application/vnd.ms-excel",59,49664
"application/vnd.ms-pki.stl",13,1275351242
"application/vnd.ms-word",1,0
"application/vnd.oasis.opendocument.text",2,20193
"application/vnd.openxmlformats-officedocument.presentationml.presentation",4,13846887
"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",23,5413248
"application/vnd.openxmlformats-officedocument.wordprocessingml.document",90,3595633
"application/x-7z-compressed",9,0
"application/x-apple-diskimage",1,21716328
"application/x-gzip",52,2955938571
"application/x-hdf5",26,5540427
"application/x-ipynb+json",8,2286770
"application/x-msdownload",58,5022036112
"application/x-netcdf",3287,6643687580
"application/x-research-info-systems",1,15519
"application/x-Research-Info-Systems",1,277096
"application/x-rlang-transport",1,24974
"application/x-sas",2,0
"application/x-sas-syntax",2,656710
"application/x-sas-system",51,0
"application/x-spss-por",336,11442789
"application/x-spss-sav",77,0
"application/x-spss-sps",6,975805
"application/x-spss-syntax",43,0
"application/x-stata",460,0
"application/x-stata-syntax",4,695616
"application/x-tar",190,287600562688
"application/x-xfig",154,602094309
"application/zip",94,16540734891
"application/zipped-shapefile",23,19968106
"audio/mpeg",8,132380356
"audio/wav",39,4231051444
"image/fits",115,5964480
"image/gif",1,79282
"image/jp2",20,17350269698
"image/jpeg",4292,33270787691
"image/png",1237,971666617
"image/RAW",2,1228356
"image/svg+xml",12,614316
"image/tiff",2374,199921236403
"image/vnd.adobe.photoshop",18,27767508
"model/obj",14,316804354
"text/css",12,116364
"text/csv",52,30675849
"text/html",35,21377048
"text/markdown",4,50220
"text/plain",2079,421135952
"text/plain; charset=US-ASCII",2184,5481216
"text/plain; charset=UTF-8",32,0
"text/rtf",5,22010
"text/tab-separated-values",817,579770867
"text/x-fixed-field",41,15616233
"text/x-matlab",39,651774
"text/xml",44,1167271
"text/x-objcsrc",11,211529
"text/x-python",1,2857
"text/x-r-notebook",1,74245
"text/x-sas-syntax; charset=US-ASCII",47,0
"text/x-spss-syntax",1,0
"text/x-spss-syntax; charset=US-ASCII",444,0
"text/x-spss-syntax; charset=UTF-8",6,0
"text/x-stata-syntax; charset=US-ASCII",35,0
"type/x-r-syntax",17,89179
"video/mp4",29,3151356688
