id,pid,count
40173,"doi:10.25346/S6/ZSW7UN/LKGKPN",160
40169,"doi:10.25346/S6/SF4AFW/YZUXRO",89
46993,"doi:10.25346/S6/ZSW7UN/GEN8T7",89
32983,"doi:10.25346/S6/B89KXF/YSORGF",86
39917,"doi:10.25346/S6/SF4AFW/ISQ5N4",85
39916,"doi:10.25346/S6/SF4AFW/YVMEBU",83
32970,"doi:10.25346/S6/B89KXF/VPZRBB",82
32965,"doi:10.25346/S6/B89KXF/JWW4RE",81
39918,"doi:10.25346/S6/SF4AFW/M5XISI",80
39919,"doi:10.25346/S6/SF4AFW/7FYPHM",77
39921,"doi:10.25346/S6/SF4AFW/R3KJFB",77
32966,"doi:10.25346/S6/B89KXF/2PE8EB",77
32969,"doi:10.25346/S6/B89KXF/LPGTX6",76
32985,"doi:10.25346/S6/B89KXF/IRJNQP",75
39920,"doi:10.25346/S6/SF4AFW/B8EJ76",70
46992,"doi:10.25346/S6/ZSW7UN/N4Z4BR",68
33199,"doi:10.25346/S6/YO15ON/DUVPB6",62
32977,"doi:10.25346/S6/SJGRKY/J1AJHE",62
46998,"doi:10.25346/S6/ZSW7UN/SWNTNS",62
32978,"doi:10.25346/S6/SJGRKY/EGL4B4",60
46994,"doi:10.25346/S6/ZSW7UN/XTWNTQ",60
46991,"doi:10.25346/S6/ZSW7UN/KBF0BB",59
32907,"doi:10.25346/S6/SJGRKY/NNN47S",59
46995,"doi:10.25346/S6/ZSW7UN/V9FKZX",59
46997,"doi:10.25346/S6/ZSW7UN/Q7OJWP",59
38749,"doi:10.25346/S6/YO15ON/EJD5YW",58
32902,"doi:10.25346/S6/SJGRKY/WJVFJ3",57
32904,"doi:10.25346/S6/SJGRKY/BFTS6I",57
33206,"doi:10.25346/S6/YO15ON/B8AVQN",57
32903,"doi:10.25346/S6/SJGRKY/2GISHB",56
46996,"doi:10.25346/S6/ZSW7UN/B1A9MX",55
32979,"doi:10.25346/S6/SJGRKY/DCUB9U",54
39769,"doi:10.25346/S6/B89KXF/PHDGOM",53
39932,"doi:10.25346/S6/ZSW7UN/VIEBCG",52
33202,"doi:10.25346/S6/YO15ON/RE1GBP",48
33201,"doi:10.25346/S6/YO15ON/HCHGWS",47
33203,"doi:10.25346/S6/YO15ON/TGRCHA",44
39933,"doi:10.25346/S6/ZSW7UN/CXTVDZ",42
33200,"doi:10.25346/S6/YO15ON/JOTBRX",41
39880,"doi:10.25346/S6/YO15ON/AKUMJG",41
39934,"doi:10.25346/S6/ZSW7UN/Y2HX4M",38
39935,"doi:10.25346/S6/ZSW7UN/NSOCAZ",38
39939,"doi:10.25346/S6/ZSW7UN/WF9WGE",38
39938,"doi:10.25346/S6/ZSW7UN/B7HOHR",37
39936,"doi:10.25346/S6/ZSW7UN/CS12XS",37
38752,"doi:10.25346/S6/MQRHJE/WM2JCO",36
39937,"doi:10.25346/S6/ZSW7UN/IRXYFW",36
