crosswalk_version	standardized_department	organizational_parent	parent_type	mapping_status	source_url
2.0.0	Geography	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Information Studies	School of Education and Information Studies	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Library	UCLA Library	library	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Social Science	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Environment and Sustainability	Institute of the Environment and Sustainability	academic_institute	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Psychology	UCLA College — Life Sciences	college_division	active	https://college.ucla.edu/divisions/life-sciences/
2.0.0	Urban Planning	Luskin School of Public Affairs	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Atmospheric and Oceanic Sciences	UCLA College — Physical Sciences	college_division	active	https://college.ucla.edu/divisions/
2.0.0	Biostatistics	Fielding School of Public Health	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Chemistry and Biochemistry	UCLA College — Physical Sciences	college_division	active	https://college.ucla.edu/divisions/
2.0.0	Mathematics	UCLA College — Physical Sciences	college_division	active	https://college.ucla.edu/divisions/
2.0.0	Education	School of Education and Information Studies	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Epidemiology	Fielding School of Public Health	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Political Science	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Institute of the Environment and Sustainability	Institute of the Environment and Sustainability	academic_institute	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Statistics	UCLA College — Physical Sciences	college_division	active	https://college.ucla.edu/divisions/
2.0.0	UCLA Health	UCLA Health	health_system	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Economics	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Management	Anderson School of Management	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Sociology	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	IT Services	Research and technology administration	administrative_group	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Public Policy	Luskin School of Public Affairs	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Anthropology	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Civil and Environmental Engineering	Samueli School of Engineering	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Computer Science	Samueli School of Engineering	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Health	UCLA Health	health_system	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Asian Languages and Cultures	UCLA College — Humanities	college_division	active	https://college.ucla.edu/divisions/humanities/
2.0.0	English	UCLA College — Humanities	college_division	active	https://college.ucla.edu/divisions/humanities/
2.0.0	History	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Institute of Transportation Studies	Luskin School of Public Affairs	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Law	School of Law	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Architecture and Urban Design	School of Arts and Architecture	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Art History	UCLA College — Humanities	college_division	active	https://college.ucla.edu/divisions/humanities/
2.0.0	Community Health Sciences	Fielding School of Public Health	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Library Special Collections	UCLA Library	library	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Linguistics	UCLA College — Humanities	college_division	active	https://college.ucla.edu/divisions/humanities/
2.0.0	East Asian Studies	UCLA International Institute	academic_institute	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Ecology and Evolutionary Biology	UCLA College — Life Sciences	college_division	active	https://college.ucla.edu/divisions/life-sciences/
2.0.0	International Institute	UCLA International Institute	academic_institute	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Semel Institute for Neuroscience and Human Behavior	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Teaching and Learning Center	Campus administration	administrative_group	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Engineering Schoolwide Programs	Samueli School of Engineering	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Faculty Practice Group	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Health Policy and Management	Fielding School of Public Health	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Humanities Technology	UCLA College — Humanities	college_division	active	https://college.ucla.edu/divisions/humanities/
2.0.0	Life Sciences	UCLA College — Life Sciences	college_division	active	https://college.ucla.edu/divisions/life-sciences/
2.0.0	Pediatrics	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Pritzker Center for Strengthening Children and Families	Luskin School of Public Affairs	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Public Health	Fielding School of Public Health	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Archaeology	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Asian American Studies	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Clinical and Translational Science Institute	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Earth, Planetary, and Space Sciences	UCLA College — Physical Sciences	college_division	active	https://college.ucla.edu/divisions/
2.0.0	Electrical and Computer Engineering	Samueli School of Engineering	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Events and Transportation	Campus administration	administrative_group	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Gender Studies	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Human Genetics	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Master of Social Science	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Medicine	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Molecular, Cell, and Developmental Biology	UCLA College — Life Sciences	college_division	active	https://college.ucla.edu/divisions/life-sciences/
2.0.0	Neuroscience (Graduate)	UCLA College — Life Sciences	college_division	active	https://college.ucla.edu/divisions/life-sciences/
2.0.0	American Indian Studies	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Bioinformatics	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Biological Chemistry	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Biology	UCLA College — Life Sciences	college_division	active	https://college.ucla.edu/divisions/life-sciences/
2.0.0	French and Francophone Studies	UCLA College — Humanities	college_division	active	https://college.ucla.edu/divisions/humanities/
2.0.0	Luskin School of Public Affairs	Luskin School of Public Affairs	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Mechanical and Aerospace Engineering	Samueli School of Engineering	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Molecular Biology	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Nursing	School of Nursing	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Physics and Astronomy	UCLA College — Physical Sciences	college_division	active	https://college.ucla.edu/divisions/
2.0.0	Anesthesiology and Perioperative Medicine	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Art	School of Arts and Architecture	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Bioengineering	Samueli School of Engineering	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Biomedical Research	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	California Center for Population Research	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Center for Health Policy Research	Fielding School of Public Health	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Clinical Research Information Systems	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	College of Letters and Science	UCLA College — Undergraduate Education	college_division	active	https://college.ucla.edu/divisions/
2.0.0	Communication	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Conservation of Archaeological and Ethnographic Materials	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Digital Humanities	UCLA College — Humanities	college_division	active	https://college.ucla.edu/divisions/humanities/
2.0.0	Environmental Health Sciences	Fielding School of Public Health	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Facilities Management	Campus administration	administrative_group	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Getty Conservation Institute	External organization	external	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Graduate Medical Education	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Institute for Digital Research and Education	Research and technology administration	administrative_group	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Institute for Society and Genetics	UCLA College — Life Sciences	college_division	active	https://college.ucla.edu/divisions/life-sciences/
2.0.0	Materials Science and Engineering	Samueli School of Engineering	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Molecular and Medical Pharmacology	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Near Eastern Languages and Cultures	UCLA College — Humanities	college_division	active	https://college.ucla.edu/divisions/humanities/
2.0.0	Psychiatry and Biobehavioral Sciences	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Public Affairs	Luskin School of Public Affairs	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Social Welfare	Luskin School of Public Affairs	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Southern Regional Library Facility	UCLA Library	library	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Spanish and Portuguese	UCLA College — Humanities	college_division	active	https://college.ucla.edu/divisions/humanities/
2.0.0	Aerospace Studies	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Applied Geospatial Information Systems & Technologies	UCLA Extension	extension	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Asian American Studies Center	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Athletics	Campus administration	administrative_group	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Center for Education Innovation and Learning in the Sciences	UCLA College — Life Sciences	college_division	active	https://college.ucla.edu/divisions/life-sciences/
2.0.0	Central Resource Unit	Campus administration	administrative_group	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Chemical and Biomolecular Engineering	Samueli School of Engineering	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Chicana and Chicano Studies	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Chicana/o and Central American Studies	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Clinical Research	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Cognitive Science	UCLA College — Life Sciences	college_division	active	https://college.ucla.edu/divisions/life-sciences/
2.0.0	Comparative Literature	UCLA College — Humanities	college_division	active	https://college.ucla.edu/divisions/humanities/
2.0.0	Cotsen Institute of Archaeology	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Daily Bruin	Campus student organization	campus_organization	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Data Science Engineering	Samueli School of Engineering	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Data Science in Health	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	David Geffen School of Medicine	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Dean's Office	Campus administration	administrative_group	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Dentistry	School of Dentistry	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Design Media Arts	School of Arts and Architecture	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Digital Library Program	UCLA Library	library	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	East Asian Library	UCLA Library	library	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Ecological Society of America	External organization	external	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Emergency Medicine	David Geffen School of Medicine	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	European Languages and Transcultural Studies	UCLA College — Humanities	college_division	active	https://college.ucla.edu/divisions/humanities/
2.0.0	Fielding School of Public Health	Fielding School of Public Health	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Film, Television, and Digital Media	School of Theater, Film and Television	professional_school	active	https://www.ucla.edu/academics/college-and-schools
2.0.0	Global Studies	UCLA International Institute	academic_institute	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Humanities	UCLA College — Humanities	college_division	active	https://college.ucla.edu/divisions/humanities/
2.0.0	Insurance and Risk	Campus administration	administrative_group	active	https://catalog.registrar.ucla.edu/About-UCLA
2.0.0	Labor Center	UCLA College — Social Sciences	college_division	active	https://college.ucla.edu/divisions/social-sciences/
2.0.0	Music	Herb Alpert School of Music	professional_school	active	https://www.ucla.edu/academics/college-and-schools
