project_org,project_number,project_name,item_id,title,status,content_type,content_url,repository,assignees,labels,export_date
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgSIx0c,Level Categorization,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/5,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgSvk8o,Look into paying authors for lesson development,Up Next,Issue,https://github.com/UC-OSPO-Network/education/issues/11,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgSIxxs,Create a Curriculum Map or Paths,Up Next,Issue,https://github.com/UC-OSPO-Network/education/issues/4,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgRgmTw,Identify UC OSPO Target Audiences,Done,Issue,https://github.com/UC-OSPO-Network/ucospo.net/issues/18,https://github.com/UC-OSPO-Network/ucospo.net,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgP8Avs,Hire a community manager,Done,Issue,https://github.com/UC-OSPO-Network/ucospo.net/issues/7,https://github.com/UC-OSPO-Network/ucospo.net,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgQJxmM,Define containerization service,Done,DraftIssue,,,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgP6UA0,Plan Hacktoberfest activities for UCSC,Done,Issue,https://github.com/UC-OSPO-Network/ucospo.net/issues/5,https://github.com/UC-OSPO-Network/ucospo.net,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgRMckw,Inventory Existing Modules,Done,Issue,https://github.com/UC-OSPO-Network/ucospo.net/issues/9,https://github.com/UC-OSPO-Network/ucospo.net,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgRMcTA,Create audience profiles,Done,Issue,https://github.com/UC-OSPO-Network/ucospo.net/issues/10,https://github.com/UC-OSPO-Network/ucospo.net,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgSIyBI,Backward Design,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/6,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgSIxW0,Curriculum/lesson types,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/1,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgSIxhQ,Benchmark Modules,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/2,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgP6P3Y,Hire graduate student to support ORB and Sustainability activites,Done,Issue,https://github.com/UC-OSPO-Network/ucospo.net/issues/2,https://github.com/UC-OSPO-Network/ucospo.net,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgTZ47s,Identify campus participants,Todo,DraftIssue,,,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgTZ4wA,Identify campus participants,Done,Issue,https://github.com/UC-OSPO-Network/ucospo.net/issues/22,https://github.com/UC-OSPO-Network/ucospo.net,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgP6Rvk,Plan UC OSPO Symposium,Done,Issue,https://github.com/UC-OSPO-Network/ucospo.net/issues/4,https://github.com/UC-OSPO-Network/ucospo.net,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgSIxoE,Identify Gaps,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/3,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgSIyJM,Identify and fill in the most impactful gaps,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/7,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgTZ5o0,Define gitsurvey of OSS contributions for each campus (replicate UCSD process),Done,Issue,https://github.com/UC-OSPO-Network/ucospo.net/issues/23,https://github.com/UC-OSPO-Network/ucospo.net,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgP6Q6c,Recruit postdoc to engage with Discovery and Sustainability activities,Done,Issue,https://github.com/UC-OSPO-Network/ucospo.net/issues/3,https://github.com/UC-OSPO-Network/ucospo.net,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgTZ6Rs,Conduct survey of Git contributions and build database for all campuses,Done,Issue,https://github.com/UC-OSPO-Network/ucospo.net/issues/24,https://github.com/UC-OSPO-Network/ucospo.net,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgQMLkk,Launch pilot containerization service,In Progress,DraftIssue,,,,,2026-03-09
